Open;High;Low;Close;Volume;;moneyFlowMultiplier;moneyFlowVolume;;;;
50.7200;51.1300;50.5100;51.0700;18182200;;0.806452;14663064.516129;14663064.516129;;;((tick.close - tick.low) - (tick.high - tick.close))/(tick.high - tick.low)
51.1400;52.0900;51.1000;51.9200;17859300;;0.656566;11725803.030303;26388867.546432;;;
52.0100;52.2750;51.6800;52.1500;19485300;;0.579832;11298199.159664;37687066.706096;;;
52.4100;52.8550;52.1400;52.5900;20568000;;0.258741;5321790.209791;43008856.915886;;;
52.6300;52.9600;52.5100;52.7400;19215900;;0.022222;427020.000000;43435876.915887;;;
52.9400;53.6200;52.9300;53.2000;43670700;;-0.217391;-9493630.434782;33942246.481104;;;
53.2700;53.9350;53.0900;53.5100;19073800;;-0.005917;-112862.721894;33829383.759211;;;
53.7900;54.0000;53.1400;53.3100;20596400;;-0.604651;-12453637.209302;21375746.549909;;;
53.1600;53.8700;52.8550;53.2600;21140800;;-0.201970;-4269816.748768;17105929.801140;;;
53.0800;54.2300;53.0400;53.9400;20082700;;0.512605;10294493.277311;27400423.078451;;;
53.9100;54.1400;52.7000;52.7400;23938500;;-0.944444;-22608583.333333;4791839.745118;;;
52.7000;52.9300;52.2450;52.7300;18774900;;0.416058;7811454.744525;12603294.489643;;;
53.1900;53.4850;53.0000;53.2300;17742700;;-0.051546;-914572.164949;11688722.324694;;;
53.3000;53.6592;52.7400;53.1400;20447500;;-0.129678;-2651590.513490;9037131.811204;;;
53.1900;53.6900;53.0200;53.3600;13095000;;0.014925;195447.761194;9232579.572398;;;
53.7000;54.0000;53.3600;53.9900;19582300;;0.968750;18970353.125000;28202932.697399;;;
54.4750;55.0207;54.3900;54.9800;19741700;;0.870937;17193778.040273;45396710.737671;;;
55.0010;55.4100;54.9700;55.2900;17264000;;0.454545;7847272.727273;53243983.464944;;;
55.4600;55.8000;55.0700;55.6300;21110400;;0.534247;11278158.904110;64522142.369054;;;
55.3700;55.6800;54.8600;55.1400;16412100;;-0.317073;-5203836.585366;59318305.783688;;;
55.2500;55.6100;55.1300;55.2100;13817500;;-0.666667;-9211666.666667;50106639.117021;;;
55.2000;55.5600;54.7900;55.4900;13862800;;0.818182;11342290.909091;61448930.026112;;;
55.0800;55.4200;54.8575;55.1800;15508400;;0.146667;2274565.333333;63723495.359446;;;
55.1100;55.8400;55.1100;55.8200;13460200;;0.945205;12722654.794521;76446150.153966;;;
55.9274;55.9500;55.3050;55.6000;13186000;;-0.085271;-1124387.596899;75321762.557067;;;
55.9300;56.3550;55.7900;56.2900;14331700;;0.769912;11034140.707965;86355903.265031;;;
56.4000;56.6100;56.2350;56.5600;12198400;;0.733333;8945493.333334;95301396.598365;;;
56.6200;57.5250;56.6100;56.9500;19718300;;-0.256831;-5064262.841530;90237133.756835;;;
57.1800;57.3200;56.2850;56.3100;26093600;;-0.951691;-24833039.613526;65404094.143309;;;
56.6300;56.6950;56.1100;56.4000;18332000;;-0.008547;-156683.760684;65247410.382625;;;
56.1600;56.6000;56.1000;56.3400;11951500;;-0.040000;-478060.000000;64769350.382625;;;
56.4300;56.6950;56.2000;56.6900;18796600;;0.979798;18416870.707071;83186221.089696;;;
56.6400;57.1500;56.5800;56.8800;13212000;;0.052632;695368.421053;83881589.510748;;;
56.4600;56.7800;56.0100;56.3300;15526900;;-0.168831;-2621424.675325;81260164.835424;;;
56.0200;56.3700;55.6800;55.8800;18010900;;-0.420290;-7569798.550724;73690366.284699;;;
